排名,Tag,出现次数
1,genre---electronic,42996
2,genre---ambient,42740
3,genre---classical,27189
4,genre---alternative,22080
5,genre---easylistening,17329
6,genre---pop,15611
7,genre---chillout,14199
8,genre---dance,12917
9,genre---folk,8324
10,genre---hiphop,7939
11,genre---blues,5337
12,instrument---bass,5025
13,genre---soundtrack,4924
14,genre---indie,4823
15,genre---rock,4560
16,instrument---piano,4415
17,genre---jazz,4226
18,genre---atmospheric,3796
19,genre---experimental,3783
20,genre---funk,3680
21,genre---metal,3404
22,genre---poprock,3289
23,genre---orchestral,3248
24,genre---reggae,3041
25,genre---club,3013
26,instrument---guitar,2800
27,genre---instrumentalpop,2797
28,genre---country,2677
29,genre---downtempo,2594
30,genre---newage,2240
31,instrument---synthesizer,2144
32,genre---breakbeat,1957
33,genre---80s,1847
34,genre---drumnbass,1836
35,genre---90s,1832
36,instrument---acousticguitar,1815
37,genre---instrumentalrock,1732
38,genre---electropop,1722
39,genre---acidjazz,1659
40,genre---celtic,1638
41,genre---dubstep,1621
42,genre---dub,1548
43,genre---darkambient,1547
44,genre---hardrock,1515
45,genre---chanson,1441
46,instrument---computer,1431
47,genre---latin,1302
48,genre---fusion,1227
49,instrument---drums,1225
50,genre---house,1219
51,mood/theme---dark,1160
52,genre---ethno,1147
53,genre---dancehall,1143
54,genre---70s,1135
55,mood/theme---energetic,1086
56,genre---60s,1074
57,mood/theme---dream,965
58,genre---punkrock,964
59,genre---heavymetal,945
60,mood/theme---film,942
61,genre---disco,916
62,genre---alternativerock,912
63,genre---popfolk,889
64,genre---grunge,855
65,genre---industrial,841
66,genre---deephouse,841
67,genre---techno,829
68,genre---darkwave,825
69,mood/theme---emotional,817
70,mood/theme---melodic,814
71,genre---classicrock,800
72,instrument---electricguitar,783
73,genre---choir,776
74,genre---trance,768
75,genre---bossanova,751
76,mood/theme---happy,748
77,instrument---drummachine,724
78,genre---progressive,686
79,genre---world,684
80,genre---hard,681
81,genre---african,667
82,mood/theme---advertising,649
83,mood/theme---christmas,631
84,mood/theme---love,625
85,mood/theme---relaxing,623
86,mood/theme---deep,603
87,instrument---cello,596
88,genre---ethnicrock,557
89,mood/theme---epic,527
90,mood/theme---meditative,517
91,genre---psychedelic,495
92,instrument---beat,477
93,genre---gothic,471
94,mood/theme---background,468
95,genre---improvisation,466
96,genre---8bit,466
97,mood/theme---ambiental,458
98,instrument---accordion,456
99,genre---hardcore,444
100,genre---baroque,424
101,mood/theme---calm,418
102,genre---rap,414
103,mood/theme---action,407
104,mood/theme---children,406
105,mood/theme---adventure,403
106,genre---punk,382
107,genre---edm,378
108,genre---lounge,349
109,genre---acid,345
110,mood/theme---sad,338
111,instrument---orchestra,331
112,mood/theme---ballad,326
113,instrument---flute,321
114,genre---bluesrock,321
115,mood/theme---soundscape,317
116,mood/theme---fun,312
117,genre---newwave,303
118,mood/theme---documentary,300
119,genre---minimal,296
120,instrument---acousticbassguitar,288
121,mood/theme---corporate,286
122,genre---synthpop,284
123,mood/theme---commercial,271
124,genre---asian,268
125,mood/theme---drama,263
126,instrument---keyboard,258
127,instrument---classicalguitar,252
128,instrument---electricpiano,248
129,mood/theme---space,243
130,genre---groove,240
131,instrument---strings,238
132,genre---electronica,236
133,genre---americana,235
134,instrument---bell,235
135,genre---postrock,234
136,genre---ambiant,230
137,mood/theme---cool,229
138,genre---triphop,225
139,genre---ebm,219
140,genre---chansonfrancaise,217
141,genre---electrohouse,217
142,genre---acidhouse,216
143,genre---flamenco,215
144,genre---avantgarde,215
145,genre---rnb,212
146,mood/theme---melancholic,212
147,instrument---brass,206
148,instrument---violin,203
149,instrument---sampler,199
150,genre---garage,195
151,genre---gangstarap,192
152,mood/theme---romantic,191
153,mood/theme---inspiring,190
154,mood/theme---dramatic,186
155,genre---eurodance,175
156,instrument---ukulele,171
157,genre---singersongwriter,170
158,genre---deathmetal,169
159,instrument---harp,168
160,mood/theme---game,166
161,instrument---percussion,161
162,genre---powerpop,159
163,mood/theme---movie,155
164,genre---jazzfunk,150
165,genre---christian,150
166,mood/theme---slow,149
167,mood/theme---party,143
168,genre---death,141
169,mood/theme---groovy,141
170,genre---oriental,136
171,mood/theme---retro,135
172,genre---hardstyle,129
173,genre---choral,129
174,genre---ska,123
175,instrument---clarinet,114
176,instrument---voice,112
177,genre---chiptune,111
178,mood/theme---heavy,109
179,genre---cabaret,108
180,genre---electrorock,107
181,genre---artrock,106
182,genre---dancepop,103
183,genre---rocknroll,103
184,instrument---saxophone,102
185,instrument---pad,101
186,mood/theme---funny,100
187,genre---contemporary,97
188,genre---medieval,96
189,genre---jazzfusion,96
190,mood/theme---nature,94
191,genre---eletronica,91
192,mood/theme---upbeat,91
193,mood/theme---uplifting,88
194,genre---minimaltechno,87
195,mood/theme---horror,87
196,mood/theme---hopeful,84
197,genre---gospel,81
198,genre---minimalism,81
199,mood/theme---positive,80
200,mood/theme---summer,78
201,mood/theme---sport,77
202,mood/theme---fast,74
203,instrument---horn,74
204,instrument---doublebass,73
205,genre---acidrock,72
206,genre---bebop,72
207,genre---guitarrock,69
208,genre---indiepop,64
209,genre---ambiente,64
210,mood/theme---powerful,64
211,genre---lofi,63
212,genre---blackmetal,63
213,genre---electroambient,62
214,genre---score,61
215,genre---guitarras,60
216,mood/theme---mellow,60
217,mood/theme---motivational,60
218,instrument---bongo,56
219,instrument---organ,55
220,mood/theme---soft,55
221,genre---acousticrock,54
222,mood/theme---sexy,54
223,instrument---trumpet,52
224,genre---idm,51
225,genre---dubelectro,51
226,genre---neoclassical,51
227,genre---ragga,48
228,genre---chilloutlounge,48
229,instrument---rhodes,47
230,mood/theme---travel,47
231,genre---soul,45
232,genre---gipsy,45
233,genre---hardtrance,45
234,genre---emo,45
235,genre---darkelectro,45
236,genre---middleeastern,42
237,genre---electrodance,42
238,genre---progressiverock,42
239,genre---electrojazz,39
240,genre---britpop,39
241,genre---march,39
242,instrument---harmonica,39
243,mood/theme---trailer,39
244,genre---folkpop,38
245,genre---gangsta,36
246,genre---freejazz,34
247,genre---dreampop,33
248,genre---breakcore,33
249,instrument---oboe,32
250,genre---popfunk,30
251,genre---electronik,30
252,genre---computermusic,30
253,genre---glam,30
254,genre---glitch,29
255,instrument---pipeorgan,29
256,genre---downbeat,27
257,genre---chansonatexte,27
258,mood/theme---holiday,26
259,genre---tribal,24
260,genre---samba,24
261,genre---abstracthiphop,21
262,genre---symphonic,21
263,instrument---viola,19
264,genre---latino,18
265,genre---psytrance,18
266,genre---dancemusic,18
267,genre---ambientmusic,16
268,genre---electronical,16
269,instrument---pianosolo,16
270,genre---smoothjazz,15
271,genre---experimentalrock,15
272,genre---dancehouse,14
273,genre---countryrock,12
274,genre---techhouse,12
275,genre---doom,12
276,genre---christianrap,12
277,genre---reggaeton,12
278,instrument---trombone,11
279,genre---electronicmusic,10
280,genre---prog,10
281,genre---rhythmandblues,10
282,genre---jungle,9
283,genre---rave,9
284,genre---opera,9
285,genre---ragtime,9
286,genre---drone,9
287,genre---emocore,9
288,genre---jrock,9
289,genre---poppunk,9
290,genre---grindcore,9
291,genre---swing,9
292,genre---rockandroll,8
293,mood/theme---relaxation,8
294,genre---hardtek,7
295,genre---salsa,6
296,mood/theme---comedy,6
297,genre---technoindustrial,6
298,genre---island,6
299,genre---rocksteady,6
300,genre---postpunk,6
301,genre---noise,6
302,genre---electropunk,6
303,genre---soundtracks,6
304,genre---jazzrock,6
305,genre---tango,6
306,genre---powermetal,6
307,genre---souljazz,6
308,mood/theme---energy,4
309,instrument---bells,4
310,genre---electronika,4
311,genre---classicalmusic,4
312,genre---metalcore,4
313,instrument---guitare,4
314,genre---soundscapes,4
315,genre---manouche,3
316,mood/theme---indian,3
317,mood/theme---poesia,3
318,mood/theme---hypnotic,3
319,genre---deutschrock,3
320,mood/theme---silence,3
321,instrument---drum,3
322,mood/theme---beach,3
323,genre---progressivehouse,3
324,mood/theme---life,3
325,instrument---panflute,3
326,mood/theme---celebration,3
327,instrument---oud,3
328,instrument---cymbal,3
329,genre---trip,3
330,mood/theme---business,3
331,genre---rockfrancais,3
332,genre---elektro,3
333,genre---indietronica,3
334,genre---goth,3
335,genre---krautrock,3
336,genre---indierock,3
337,mood/theme---spiritual,3
338,mood/theme---quiet,3
339,mood/theme---tv,3
340,mood/theme---darkness,2
341,genre---electronicambient,2
342,genre---loungemusic,2
343,genre---tecno,2
344,instrument---synth,2
345,instrument---batterie,2
346,mood/theme---cinema,2
347,mood/theme---child,2
348,mood/theme---dynamic,1
